中轴承温度,A相线温度,电机前轴承温度,垂直振动,水平振动,出口烟气温度,timestamp
59.767498,55.289803,61.383026,0.2991454,0.25030506,136.76173,2023-05-26 18:22:00
59.767498,55.289803,61.383026,0.2869353,0.27472523,136.76173,2023-05-26 18:22:00
59.767498,55.263783,61.383026,0.2869353,0.26251513,136.76173,2023-05-26 18:22:00
59.767498,55.263783,61.383026,0.31135547,0.2503050600000001,136.83693,2023-05-26 18:23:00
59.767498,55.263783,61.383026,0.2991454,0.26251513,136.83693,2023-05-26 18:23:00
59.767498,55.263783,61.383026,0.27472523,0.26251513,136.83693,2023-05-26 18:23:00
59.767498,55.23778,61.383026,0.27472523,0.26251513,136.83693,2023-05-26 18:23:00
59.767498,55.23778,61.383026,0.2991454,0.25030506,136.76173,2023-05-26 18:23:00
59.767498,55.23778,61.383026,0.2991454,0.25030506,136.83693,2023-05-26 18:23:00
59.767498,55.21176,61.383026,0.2869353,0.27472523,136.76173,2023-05-26 18:24:00
59.767498,55.21176,61.383026,0.2869353,0.26251513,136.83693,2023-05-26 18:24:00
59.767498,55.21176,61.383026,0.2869353,0.26251513,136.83693,2023-05-26 18:24:00
59.767498,55.21176,61.383026,0.2869353,0.26251513,136.86252,2023-05-26 18:24:00
59.767498,55.18574,61.383026,0.2869353,0.2869353,136.9137,2023-05-26 18:24:00
59.767498,55.18574,61.383026,0.2991454,0.27472523,136.96489,2023-05-26 18:24:00
59.767498,55.15972,61.383026,0.2869353,0.25030506,137.01607,2023-05-26 18:25:00
59.767498,55.15972,61.383026,0.27472523,0.26251513,136.96648,2023-05-26 18:25:00
59.767498,55.13372,61.383026,0.2869353,0.27472523,136.99208,2023-05-26 18:25:00
59.767498,55.13372,61.383026,0.2869353,0.27472523,137.04327,2023-05-26 18:25:00
59.767498,55.13372,61.383026,0.31135547,0.27472523,137.06888,2023-05-26 18:25:00
59.767498,55.1077,61.383026,0.2869353,0.2869353,137.09448,2023-05-26 18:25:00
59.767498,55.1077,61.383026,0.27472523,0.27472523,137.14569,2023-05-26 18:26:00
59.767498,55.08168,61.383026,0.2869353,0.27472523,137.1713,2023-05-26 18:26:00
59.767498,55.08168,61.356976,0.2869353,0.27472523,137.2225,2023-05-26 18:26:00
